,HomeTeam,AwayTeam,FTR,H,D,A,player_stats_vote
301,Manchester Utd,Chelsea,D,0.21364732142857135,0.1847991071428572,0.6015535714285712,A
302,Newcastle Utd,Liverpool,A,0.13245833333333337,0.12225,0.7452916666666666,A
303,Aston Villa,Norwich City,H,0.6409583333333331,0.16093749999999996,0.19810416666666672,H
304,Southampton,Crystal Palace,A,0.3284970238095238,0.22375892857142862,0.4477440476190476,A
305,Watford,Burnley,A,0.33735714285714286,0.3618541666666667,0.30078869047619056,D
306,Wolves,Brighton,A,0.6200208333333332,0.20347916666666663,0.17649999999999996,H
307,Leeds United,Manchester City,A,0.1524672619047619,0.22127380952380948,0.6262589285714286,A
308,Everton,Chelsea,H,0.2464940476190477,0.12291964285714288,0.6305863095238093,A
309,Tottenham,Leicester City,H,0.5879047619047618,0.17104166666666662,0.24105357142857148,H
310,West Ham,Arsenal,A,0.3109761904761906,0.3791994047619048,0.3098244047619048,D
311,Manchester Utd,Brentford,H,0.5248392857142858,0.1771666666666666,0.29799404761904774,H
