,A,D,H
103,0.22404356060606065,0.2245397727272727,0.5514166666666669
104,0.1352767857142857,0.21287499999999995,0.6518482142857145
105,0.5710416666666664,0.1991875,0.22977083333333337
106,0.5592499999999998,0.22224603174603172,0.21850396825396828
107,0.2211666666666667,0.17954166666666674,0.5992916666666667
108,0.4486983225108224,0.29868411796536803,0.2526175595238095
109,0.622782738095238,0.1701666666666667,0.20705059523809516
110,0.314375,0.28643055555555563,0.39919444444444435
111,0.3662916666666667,0.18703273809523807,0.44667559523809525
112,0.4601830357142858,0.19039434523809529,0.34942261904761907
113,0.7362395833333331,0.14982291666666658,0.11393749999999998
114,0.27394642857142854,0.1762529761904762,0.5498005952380951
115,0.29787053571428584,0.2236190476190476,0.4785104166666667
116,0.23875297619047625,0.19688095238095243,0.5643660714285716
117,0.4228630952380951,0.22930357142857133,0.3478333333333334
118,0.508517857142857,0.23236309523809523,0.25911904761904764
119,0.36520138888888887,0.32729265873015884,0.3075059523809524
120,0.28616964285714297,0.1879632936507936,0.5258670634920635
121,0.23312351190476194,0.18654613095238085,0.5803303571428571
122,0.12388392857142856,0.12585416666666668,0.7502619047619047
123,0.11718601190476191,0.10824107142857146,0.7745729166666666
124,0.5026160714285718,0.30097916666666674,0.19640476190476197
125,0.4410922619047618,0.3747708333333334,0.1841369047619047
126,0.1577886904761905,0.26383333333333336,0.578377976190476
127,0.25926190476190475,0.32892559523809534,0.41181250000000014
128,0.406625,0.35158333333333347,0.2417916666666667
129,0.16550347222222217,0.137515873015873,0.696980654761905
130,0.2618229166666667,0.31042708333333335,0.42774999999999985
131,0.36605505952380946,0.17816815476190473,0.4557767857142857
132,0.506063988095238,0.21632589285714288,0.27761011904761895
133,0.08040476190476191,0.07161458333333333,0.8479806547619049
134,0.09942559523809522,0.10555059523809524,0.7950238095238094
135,0.4466755952380953,0.27450595238095243,0.27881845238095243
136,0.7050297619047615,0.14491071428571428,0.1500595238095238
137,0.5658541666666665,0.18202083333333344,0.25212499999999993
138,0.4942559523809525,0.16095833333333323,0.3447857142857142
139,0.23834375000000008,0.23325744047619046,0.5283988095238095
140,0.3895952380952382,0.34663392857142855,0.2637708333333334
141,0.2225208333333335,0.23649999999999996,0.5409791666666667
142,0.3031919642857143,0.251891369047619,0.4449166666666668
143,0.6430208333333334,0.15086011904761903,0.20611904761904756
144,0.29263392857142856,0.24397321428571422,0.4633928571428571
145,0.36635863095238086,0.38248809523809507,0.25115327380952374
146,0.2548854166666667,0.28152232142857153,0.46359226190476205
147,0.5005505952380953,0.3223303571428572,0.17711904761904773
148,0.4602291666666668,0.34143750000000006,0.19833333333333333
149,0.5833110119047615,0.16869791666666664,0.24799107142857144
150,0.1572916666666667,0.12247916666666661,0.7202291666666667
151,0.7466964285714285,0.14642559523809526,0.10687797619047616
152,0.26594940476190476,0.28880654761904767,0.4452440476190477
153,0.6009345238095236,0.16306250000000005,0.23600297619047614
154,0.6050833333333333,0.24012797619047613,0.15478869047619048
155,0.4857410714285713,0.31882142857142853,0.1954375
156,0.4072410714285715,0.38324107142857144,0.20951785714285717
157,0.3314776785714286,0.40718749999999987,0.26133482142857156
158,0.2535,0.2848630952380952,0.4616369047619047
159,0.46533630952380955,0.2144136904761905,0.32025000000000003
160,0.21154166666666668,0.1440297619047619,0.6444285714285712
161,0.33477678571428576,0.3255416666666667,0.33968154761904773
162,0.16450595238095236,0.1281875,0.7073065476190474
163,0.3339717261904761,0.3010848214285714,0.36494345238095244
164,0.24462797619047624,0.1368988095238095,0.6184732142857142
165,0.4513541666666667,0.21934226190476191,0.3293035714285715
166,0.4223511904761905,0.3333958333333332,0.24425297619047612
167,0.3464166666666666,0.30066666666666664,0.3529166666666667
168,0.4313541666666665,0.25482142857142864,0.3138244047619049
169,0.1484151785714286,0.12065624999999999,0.7309285714285714
170,0.23303869047619052,0.20972916666666674,0.5572321428571428
171,0.5617767857142858,0.17881845238095245,0.2594047619047618
172,0.5624241071428567,0.2022425595238095,0.23533333333333342
173,0.5458660714285712,0.2446369047619049,0.20949702380952387
174,0.20724999999999993,0.2757083333333333,0.5170416666666666
175,0.30466071428571434,0.2890773809523809,0.40626190476190466
176,0.3503556547619048,0.3152589285714285,0.3343854166666668
177,0.20387499999999995,0.18372916666666675,0.612395833333333
178,0.3224791666666667,0.2305,0.4470208333333334
179,0.8029166666666668,0.09808333333333334,0.09899999999999999
180,0.22635416666666672,0.20512500000000003,0.5685208333333333
181,0.6801874999999995,0.177889880952381,0.141922619047619
182,0.26991964285714287,0.20489583333333333,0.5251845238095237
183,0.3897589285714285,0.24793005952380956,0.36231101190476184
184,0.3585000000000001,0.3557500000000002,0.28575
185,0.45308035714285694,0.2576904761904761,0.2892291666666666
186,0.20374107142857145,0.1981160714285715,0.598142857142857
187,0.5876369047619047,0.2586964285714287,0.1536666666666667
