,home_team,away_team,H,D,A,game_id
0,Wolves,Crystal Palace,0.721,0.21899999999999997,0.06,WolvesCrystal Palace
1,Sheffield United,Man City,0.0,0.01,0.99,Sheffield UnitedMan City
2,Burnley,Chelsea,0.0,0.048,0.9520000000000001,BurnleyChelsea
3,Liverpool,West Ham,0.953,0.021,0.026000000000000002,LiverpoolWest Ham
4,Aston Villa,Southampton,0.653,0.27899999999999997,0.068,Aston VillaSouthampton
5,Newcastle,Everton,0.037000000000000005,0.136,0.8270000000000001,NewcastleEverton
6,Man United,Arsenal,0.628,0.262,0.11,Man UnitedArsenal
7,Tottenham,Brighton,0.9690000000000001,0.026000000000000002,0.005,TottenhamBrighton
8,Fulham,West Brom,0.35600000000000004,0.45399999999999996,0.191,FulhamWest Brom
9,Leeds,Leicester,0.191,0.294,0.515,LeedsLeicester
0,Brighton,Burnley,0.616,0.285,0.099,BrightonBurnley
1,Southampton,Newcastle,0.8079999999999999,0.121,0.071,SouthamptonNewcastle
2,Everton,Man United,0.508,0.305,0.187,EvertonMan United
3,Crystal Palace,Leeds,0.20600000000000002,0.33299999999999996,0.46,Crystal PalaceLeeds
4,Chelsea,Sheffield United,0.9890000000000001,0.005,0.005,ChelseaSheffield United
5,West Ham,Fulham,0.8740000000000001,0.11599999999999999,0.011000000000000001,West HamFulham
6,West Brom,Tottenham,0.005,0.011000000000000001,0.9840000000000001,West BromTottenham
7,Leicester,Wolves,0.8109999999999999,0.11599999999999999,0.07400000000000001,LeicesterWolves
8,Man City,Liverpool,0.177,0.391,0.43200000000000005,Man CityLiverpool
9,Arsenal,Aston Villa,0.792,0.151,0.057,ArsenalAston Villa
0,Newcastle,Chelsea,0.021,0.037000000000000005,0.941,NewcastleChelsea
1,Aston Villa,Brighton,0.9470000000000001,0.048,0.005,Aston VillaBrighton
2,Tottenham,Man City,0.3,0.42100000000000004,0.27899999999999997,TottenhamMan City
3,Man United,West Brom,0.9840000000000001,0.011000000000000001,0.005,Man UnitedWest Brom
4,Fulham,Everton,0.031,0.115,0.853,FulhamEverton
5,Sheffield United,West Ham,0.13699999999999998,0.221,0.642,Sheffield UnitedWest Ham
6,Leeds,Arsenal,0.172,0.26,0.568,LeedsArsenal
7,Liverpool,Leicester,0.7659999999999999,0.115,0.12,LiverpoolLeicester
8,Burnley,Crystal Palace,0.08800000000000001,0.175,0.737,BurnleyCrystal Palace
9,Wolves,Southampton,0.423,0.335,0.242,WolvesSouthampton
0,Crystal Palace,Newcastle,0.6920000000000001,0.192,0.11599999999999999,Crystal PalaceNewcastle
1,Brighton,Liverpool,0.006,0.006,0.9890000000000001,BrightonLiverpool
2,Man City,Burnley,0.9940000000000001,0.006,0.0,Man CityBurnley
3,Everton,Leeds,0.8390000000000001,0.133,0.027999999999999997,EvertonLeeds
4,West Brom,Sheffield United,0.40299999999999997,0.49200000000000005,0.105,West BromSheffield United
5,Southampton,Man United,0.266,0.337,0.397,SouthamptonMan United
6,Chelsea,Tottenham,0.446,0.38,0.174,ChelseaTottenham
7,Arsenal,Wolves,0.71,0.18600000000000003,0.10400000000000001,ArsenalWolves
8,Leicester,Fulham,0.995,0.005,0.0,LeicesterFulham
9,West Ham,Aston Villa,0.314,0.43200000000000005,0.254,West HamAston Villa
0,Burnley,Everton,0.018000000000000002,0.067,0.915,BurnleyEverton
1,Man City,Fulham,0.988,0.006,0.006,Man CityFulham
2,West Ham,Man United,0.149,0.31,0.542,West HamMan United
3,Chelsea,Leeds,0.946,0.048,0.006,ChelseaLeeds
4,West Brom,Crystal Palace,0.13,0.479,0.391,West BromCrystal Palace
5,Sheffield United,Leicester,0.028999999999999998,0.024,0.9470000000000001,Sheffield UnitedLeicester
6,Tottenham,Arsenal,0.852,0.124,0.024,TottenhamArsenal
7,Liverpool,Wolves,0.93,0.047,0.023,LiverpoolWolves
8,Brighton,Southampton,0.069,0.26899999999999996,0.6629999999999999,BrightonSouthampton
9,Aston Villa,Newcastle,0.792,0.126,0.08199999999999999,Aston VillaNewcastle
0,Leeds,West Ham,0.381,0.33899999999999997,0.28,LeedsWest Ham
1,Wolves,Aston Villa,0.7829999999999999,0.14300000000000002,0.07400000000000001,WolvesAston Villa
2,Newcastle,West Brom,0.836,0.079,0.085,NewcastleWest Brom
3,Man United,Man City,0.16399999999999998,0.266,0.5710000000000001,Man UnitedMan City
4,Everton,Chelsea,0.055999999999999994,0.163,0.7809999999999999,EvertonChelsea
5,Southampton,Sheffield United,0.95,0.039,0.011000000000000001,SouthamptonSheffield United
6,Crystal Palace,Tottenham,0.022000000000000002,0.044000000000000004,0.9329999999999999,Crystal PalaceTottenham
7,Fulham,Liverpool,0.017,0.006,0.978,FulhamLiverpool
8,Arsenal,Burnley,0.9109999999999999,0.067,0.022000000000000002,ArsenalBurnley
9,Leicester,Brighton,0.9390000000000001,0.05,0.011000000000000001,LeicesterBrighton
0,Wolves,Chelsea,0.025,0.11699999999999999,0.8590000000000001,WolvesChelsea
1,Man City,West Brom,0.982,0.006,0.012,Man CityWest Brom
2,Arsenal,Southampton,0.39399999999999996,0.251,0.354,ArsenalSouthampton
3,Leeds,Newcastle,0.583,0.314,0.10300000000000001,LeedsNewcastle
4,Leicester,Everton,0.8059999999999999,0.131,0.063,LeicesterEverton
