player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Stuart McKinstry,39.0,sct SCO,RM,19-064,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Jack Harrison,22.0,eng ENG,"LW,LM",25-001,90.0,0.0,1.0,62.0,6.0,2.0,0.0,0.0,0.0,17.0,2.0,0.0,3.0,0.0,0.4,46.0,67.4,4.0,10.0,1.0,2.0, (Matchweek 12)
Daniel James,20.0,wls WAL,"RW,CM",24-011,90.0,1.0,0.0,38.0,2.0,0.0,0.0,7.0,4.0,16.0,1.0,1.0,0.0,0.6,0.0,26.0,46.2,0.0,9.0,1.0,1.0, (Matchweek 12)
Adam Forshaw,4.0,eng ENG,"DM,CM",30-044,71.0,0.0,0.0,58.0,3.0,0.0,0.0,2.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,47.0,93.6,3.0,3.0,0.0,1.0, (Matchweek 12)
Tyler Roberts,11.0,wls WAL,"CM,FW",22-313,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,37.5,0.0,0.0,0.0,1.0, (Matchweek 12)
Mateusz Klich,43.0,pl POL,DM,31-161,58.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0.1,31.0,87.1,3.0,2.0,0.0,0.0, (Matchweek 12)
Junior Firpo,3.0,es ESP,LB,25-091,32.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,24.0,83.3,1.0,2.0,1.0,1.0, (Matchweek 12)
Pascal Struijk,21.0,nl NED,"WB,CB,DM",22-102,90.0,0.0,0.0,65.0,5.0,0.0,0.0,1.0,0.0,33.0,4.0,4.0,3.0,0.1,0.0,50.0,88.0,5.0,2.0,1.0,1.0, (Matchweek 12)
Stuart Dallas,15.0,nir NIR,"WB,RM,CM",30-216,90.0,0.0,0.0,65.0,5.0,0.0,0.0,1.0,0.0,7.0,4.0,3.0,0.0,0.0,0.3,51.0,80.4,2.0,7.0,1.0,3.0, (Matchweek 12)
Liam Cooper,6.0,sct SCO,CB,30-083,90.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,67.0,89.6,0.0,2.0,0.0,0.0, (Matchweek 12)
Kalvin Phillips,23.0,eng ENG,"CB,DM",25-354,90.0,0.0,0.0,102.0,0.0,0.0,0.0,2.0,1.0,30.0,4.0,3.0,7.0,0.1,0.0,82.0,86.6,1.0,0.0,1.0,1.0, (Matchweek 12)
Diego Llorente,14.0,es ESP,"CB,RB",28-097,90.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,3.0,3.0,0.0,0.0,62.0,87.1,3.0,5.0,2.0,3.0, (Matchweek 12)
Illan Meslier,1.0,fr FRA,GK,21-264,90.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,65.9,0.0,0.0,0.0,0.0, (Matchweek 12)
Pierre-Emerick Aubameyang,14.0,ga GAB,FW,32-162,75.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,1.0,16.0,1.0,0.0,3.0,0.7,0.0,16.0,75.0,0.0,0.0,0.0,1.0, (Matchweek 13)
