player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Nick Pope,3.0,1.0,2.0,66.7,1.5, (Matchweek 32)
Joe Hart,0.0,0.0,0.0,0.0,0.0, (Matchweek 32)
Alex McCarthy,5.0,3.0,2.0,40.0,1.8, (Matchweek 32)
Martin Dúbravka,0.0,0.0,0.0,0.0,0.0, (Matchweek 32)
Jonas Lössl,3.0,1.0,2.0,66.7,1.2, (Matchweek 32)
Orestis Karnezis,5.0,2.0,4.0,80.0,2.1, (Matchweek 32)
Asmir Begović,6.0,2.0,4.0,66.7,1.0, (Matchweek 32)
Jordan Pickford,4.0,3.0,1.0,25.0,1.5, (Matchweek 32)
Ederson,2.0,1.0,1.0,50.0,0.2, (Matchweek 32)
David Ospina,2.0,0.0,2.0,100.0,0.1, (Matchweek 32)
Jack Butland,9.0,3.0,8.0,88.9,4.5, (Matchweek 32)
Willy Caballero,7.0,3.0,4.0,57.1,2.5, (Matchweek 32)
Hugo Lloris,4.0,1.0,3.0,75.0,1.3, (Matchweek 32)
Jordan Pickford,4.0,0.0,4.0,100.0,0.6, (Matchweek 33)
Loris Karius,1.0,0.0,1.0,100.0,0.5, (Matchweek 33)
Jack Butland,4.0,2.0,2.0,50.0,2.5, (Matchweek 33)
Hugo Lloris,3.0,1.0,2.0,66.7,1.3, (Matchweek 33)
Kasper Schmeichel,4.0,2.0,2.0,50.0,1.2, (Matchweek 33)
Martin Dúbravka,1.0,1.0,0.0,0.0,1.0, (Matchweek 33)
Orestis Karnezis,4.0,2.0,2.0,50.0,1.6, (Matchweek 33)
Nick Pope,5.0,1.0,4.0,80.0,0.9, (Matchweek 33)
Mathew Ryan,5.0,1.0,4.0,80.0,1.1, (Matchweek 33)
Jonas Lössl,5.0,1.0,4.0,80.0,0.6, (Matchweek 33)
Asmir Begović,6.0,2.0,4.0,66.7,2.1, (Matchweek 33)
Wayne Hennessey,5.0,2.0,3.0,60.0,1.9, (Matchweek 33)
Ben Foster,1.0,1.0,0.0,0.0,0.8, (Matchweek 33)
Łukasz Fabiański,3.0,1.0,2.0,66.7,0.6, (Matchweek 33)
Ederson,4.0,3.0,1.0,25.0,1.5, (Matchweek 33)
David de Gea,6.0,2.0,4.0,66.7,2.6, (Matchweek 33)
Petr Čech,8.0,2.0,6.0,75.0,3.3, (Matchweek 33)
Alex McCarthy,7.0,3.0,4.0,57.1,2.7, (Matchweek 33)
Thibaut Courtois,2.0,1.0,1.0,50.0,0.8, (Matchweek 33)
Joe Hart,6.0,1.0,5.0,83.3,2.3, (Matchweek 33)
Alex McCarthy,5.0,3.0,2.0,40.0,2.5, (Matchweek 34)
Thibaut Courtois,7.0,2.0,5.0,71.4,2.1, (Matchweek 34)
Wayne Hennessey,3.0,2.0,1.0,33.3,1.8, (Matchweek 34)
Mathew Ryan,7.0,3.0,4.0,57.1,2.3, (Matchweek 34)
Jonas Lössl,2.0,0.0,2.0,100.0,0.5, (Matchweek 34)
Orestis Karnezis,1.0,1.0,0.0,0.0,0.6, (Matchweek 34)
Nick Pope,6.0,1.0,5.0,83.3,2.2, (Matchweek 34)
Kasper Schmeichel,3.0,2.0,1.0,33.3,1.0, (Matchweek 34)
Ben Hamer,0.0,0.0,0.0,0.0,0.0, (Matchweek 34)
Łukasz Fabiański,3.0,1.0,3.0,66.7,0.8, (Matchweek 34)
Jordan Pickford,5.0,1.0,4.0,80.0,2.0, (Matchweek 34)
Loris Karius,1.0,0.0,1.0,100.0,0.6, (Matchweek 34)
Asmir Begović,6.0,3.0,3.0,50.0,2.2, (Matchweek 34)
Hugo Lloris,5.0,3.0,3.0,60.0,3.4, (Matchweek 34)
Ederson,3.0,1.0,2.0,66.7,1.2, (Matchweek 34)
Martin Dúbravka,3.0,1.0,2.0,66.7,0.4, (Matchweek 34)
Petr Čech,4.0,2.0,2.0,50.0,1.0, (Matchweek 34)
David de Gea,4.0,1.0,3.0,75.0,0.7, (Matchweek 34)
Ben Foster,4.0,0.0,4.0,100.0,0.8, (Matchweek 34)
Joe Hart,6.0,1.0,5.0,83.3,1.0, (Matchweek 34)
Jack Butland,6.0,1.0,5.0,83.3,1.1, (Matchweek 34)
Mathew Ryan,6.0,1.0,5.0,83.3,1.6, (Matchweek 35)
