player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,def_actions_outside_pen_area_gk,Team,matchweek
Koen Casteels,0.0,0.0,0.0,0.0,0.7,9.0,21.0,4.0,57.1,0.0,Wolfsburg,10.0
Gregor Kobel,5.0,0.0,5.0,100.0,0.7,6.0,27.0,5.0,51.9,1.0,Dortmund,10.0
Timo Horn,5.0,2.0,3.0,60.0,2.1,4.0,29.0,4.0,34.5,2.0,Köln,10.0
Andreas Luthe,5.0,5.0,1.0,20.0,4.4,4.0,28.0,5.0,57.1,1.0,Union Berlin,10.0
Manuel Neuer,6.0,2.0,4.0,66.7,1.0,8.0,34.0,7.0,32.4,1.0,Bayern Munich,10.0
Stefan Ortega,4.0,2.0,2.0,50.0,2.1,11.0,50.0,4.0,48.0,2.0,Arminia,10.0
Robin Zentner,6.0,1.0,5.0,83.3,1.1,5.0,31.0,11.0,38.7,0.0,Mainz 05,10.0
Kevin Trapp,8.0,1.0,7.0,87.5,2.1,7.0,28.0,3.0,50.0,0.0,Eintracht Frankfurt,10.0
Péter Gulácsi,3.0,1.0,2.0,66.7,0.3,8.0,22.0,2.0,40.9,1.0,RB Leipzig,10.0
Rafał Gikiewicz,3.0,1.0,2.0,66.7,0.6,7.0,30.0,4.0,56.7,0.0,Augsburg,10.0
Fabian Bredlow,10.0,4.0,6.0,60.0,3.6,2.0,22.0,8.0,18.2,0.0,Stuttgart,10.0
Yann Sommer,4.0,1.0,3.0,75.0,0.5,2.0,36.0,2.0,19.4,1.0,Mönchengladbach,10.0
Manuel Riemann,4.0,2.0,2.0,50.0,2.1,12.0,35.0,3.0,68.6,2.0,Bochum,10.0
Robin Zentner,5.0,1.0,4.0,80.0,1.5,2.0,18.0,8.0,22.2,1.0,Mainz 05,11.0
Yann Sommer,8.0,1.0,7.0,87.5,2.5,9.0,31.0,6.0,48.4,0.0,Mönchengladbach,11.0
Manuel Riemann,1.0,0.0,1.0,100.0,0.1,18.0,40.0,2.0,82.5,0.0,Bochum,11.0
Oliver Baumann,4.0,2.0,2.0,50.0,1.4,5.0,61.0,7.0,23.0,3.0,Hoffenheim,11.0
Fabian Bredlow,3.0,1.0,2.0,66.7,0.7,2.0,27.0,6.0,22.2,1.0,Stuttgart,11.0
Stefan Ortega,3.0,0.0,3.0,100.0,0.5,8.0,38.0,1.0,60.5,2.0,Arminia,11.0
Manuel Neuer,3.0,1.0,2.0,66.7,1.3,6.0,46.0,2.0,21.7,2.0,Bayern Munich,11.0
Mark Flekken,11.0,2.0,9.0,81.8,2.6,17.0,27.0,6.0,66.7,1.0,Freiburg,11.0
Koen Casteels,3.0,0.0,3.0,100.0,0.5,10.0,44.0,5.0,47.7,0.0,Wolfsburg,11.0
Rafał Gikiewicz,3.0,1.0,2.0,66.7,0.4,5.0,25.0,3.0,44.0,1.0,Augsburg,11.0
Péter Gulácsi,3.0,1.0,2.0,66.7,0.8,4.0,32.0,5.0,50.0,1.0,RB Leipzig,11.0
Gregor Kobel,6.0,2.0,4.0,66.7,2.2,5.0,30.0,7.0,30.0,1.0,Dortmund,11.0
Alexander Schwolow,4.0,1.0,3.0,75.0,1.3,6.0,30.0,8.0,23.3,0.0,Hertha BSC,11.0
Lukáš Hrádecký,5.0,1.0,4.0,80.0,0.9,3.0,28.0,8.0,17.9,1.0,Bayer Leverkusen,11.0
Timo Horn,3.0,2.0,1.0,33.3,0.8,6.0,40.0,4.0,25.0,1.0,Köln,11.0
Andreas Luthe,6.0,2.0,3.0,66.7,1.4,5.0,17.0,1.0,58.8,0.0,Union Berlin,11.0
Marius Funk,4.0,2.0,2.0,50.0,1.7,12.0,47.0,2.0,57.4,1.0,Greuther Fürth,11.0
Kevin Trapp,2.0,1.0,1.0,50.0,1.4,7.0,26.0,3.0,61.5,0.0,Eintracht Frankfurt,11.0
Rafał Gikiewicz,4.0,1.0,3.0,75.0,0.8,10.0,18.0,1.0,83.3,0.0,Augsburg,12.0
Manuel Neuer,3.0,2.0,1.0,33.3,1.6,2.0,36.0,2.0,11.1,4.0,Bayern Munich,12.0
Oliver Baumann,0.0,0.0,0.0,0.0,0.0,8.0,31.0,3.0,45.2,1.0,Hoffenheim,12.0
Péter Gulácsi,8.0,2.0,6.0,75.0,2.1,2.0,28.0,7.0,7.1,0.0,RB Leipzig,12.0
Gregor Kobel,4.0,1.0,3.0,75.0,1.0,1.0,30.0,4.0,6.7,0.0,Dortmund,12.0
